fir_count,common_location_count,matching_phone_count,relationship_count,repeated_location_count,repeated_phone_count,degree_centrality,betweenness,closeness,shortest_path,community_overlap,target
5,1,2,8,3,2,0.85,0.64,0.78,1,1,1
6,3,1,6,2,2,0.78,0.59,0.72,2,1,1
4,1,2,6,1,2,0.75,0.5,0.66,1,1,1
6,2,2,8,3,2,0.89,0.72,0.81,2,1,1
4,3,0,6,3,1,0.77,0.53,0.69,1,1,1
3,2,0,6,2,2,0.69,0.42,0.63,2,1,1
3,0,1,5,2,2,0.62,0.41,0.6,3,1,1
6,1,0,8,1,1,0.81,0.58,0.76,3,1,1
3,2,2,5,3,1,0.6,0.37,0.58,2,1,1
3,2,2,4,2,1,0.55,0.29,0.5,1,1,1
4,0,2,4,3,2,0.69,0.47,0.63,3,0,1
4,0,1,5,1,1,0.72,0.49,0.68,2,0,1
4,1,0,6,2,0,0.63,0.4,0.62,3,0,1
3,1,2,3,1,1,0.68,0.46,0.61,1,1,1
2,0,0,4,1,1,0.46,0.22,0.47,3,0,0
5,2,0,5,2,1,0.66,0.42,0.6,4,0,0
5,0,0,6,1,0,0.69,0.48,0.66,2,0,0
2,0,0,2,1,0,0.5,0.26,0.51,3,0,0
3,1,1,3,2,1,0.41,0.16,0.45,3,0,0
1,1,0,1,1,1,0.23,0.06,0.27,4,0,0
2,1,0,3,1,0,0.34,0.13,0.37,5,0,0
1,0,0,1,1,1,0.27,0.06,0.35,3,0,0
3,1,0,3,1,2,0.41,0.17,0.46,4,0,0
6,0,0,8,2,0,0.78,0.54,0.71,3,0,0
5,3,2,7,2,2,0.82,0.61,0.78,1,1,1
4,2,1,6,4,2,0.81,0.57,0.73,1,1,1
4,2,2,6,3,2,0.76,0.53,0.66,2,1,1
8,2,1,9,3,2,0.9,0.72,0.82,1,1,1
5,2,2,6,2,1,0.78,0.53,0.72,1,1,1
3,1,1,5,2,1,0.69,0.42,0.65,2,1,1
4,2,1,4,1,2,0.65,0.37,0.58,2,1,1
